"parameter_cd","group","parm_nm","epa_equivalence","result_statistical_basis","result_time_basis","result_weight_basis","result_particle_size_basis","result_sample_fraction","result_temperature_basis","CASRN","SRSName","parm_unit"
"49344","Organics, Pesticide","Isodrin, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","465-73-6","Isodrin","ug/kg"
"49345","Organics, Pesticide","Lindane, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","58-89-9","Lindane","ug/kg"
"49346","Organics, Pesticide","p,p'-Methoxychlor, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","72-43-5","Methoxychlor","ug/kg"
"49347","Organics, Pesticide","o,p'-Methoxychlor, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","30667-99-3","Benzene, 1-methoxy-2-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]-","ug/kg"
"49348","Organics, Pesticide","Mirex, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","2385-85-5","Mirex","ug/kg"
"49349","Organics, Pesticide","cis-Permethrin, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","61949-76-6","1RS cis-Permethrin","ug/kg"
"49350","Organics, Pesticide","trans-Permethrin, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","61949-77-7","Transpermethrin","ug/kg"
"49351","Organics, Pesticide","Toxaphene, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, micrograms per kilogram","Not checked","","","Dry","< 2 mm","Bed Sediment","","8001-35-2","Toxaphene","ug/kg"
"49353","Organics, Pesticide","Aldrin, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","309-00-2","Aldrin","ug/kg"
"49354","Organics, PCBs","PCBs, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","1336-36-3","Polychlorinated biphenyls","ug/kg"
"49355","Organics, Pesticide","Toxaphene, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","8001-35-2","Toxaphene","ug/kg"
"49356","Organics, Pesticide","Pentachloroanisole, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","1825-21-4","Benzene, pentachloromethoxy-","ug/kg"
"49357","Organics, Pesticide","Oxychlordane, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","27304-13-8","Oxychlordane","ug/kg"
"49358","Organics, Pesticide","trans-Nonachlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","39765-80-5","trans-Nonachlor","ug/kg"
"49359","Organics, Pesticide","cis-Nonachlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","5103-73-1","cis-Nonachlor","ug/kg"
"49360","Organics, Pesticide","Mirex, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","2385-85-5","Mirex","ug/kg"
"49361","Organics, Pesticide","p,p'-Methoxychlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","72-43-5","Methoxychlor","ug/kg"
"49362","Organics, Pesticide","o,p'-Methoxychlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","30667-99-3","Benzene, 1-methoxy-2-[2,2,2-trichloro-1-(4-methoxyphenyl)ethyl]-","ug/kg"
"49363","Organics, Pesticide","Lindane, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","58-89-9","Lindane","ug/kg"
"49364","Organics, Pesticide","delta-HCH, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","319-86-8",".delta.-Hexachlorocyclohexane","ug/kg"
"49365","Organics, Pesticide","beta-HCH, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","319-85-7",".beta.-Hexachlorocyclohexane","ug/kg"
"49366","Organics, Pesticide","alpha-HCH, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","319-84-6",".alpha.-Hexachlorocyclohexane","ug/kg"
"49367","Organics, Pesticide","Hexachlorobenzene, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","118-74-1","Hexachlorobenzene","ug/kg"
"49368","Organics, Pesticide","Heptachlor epoxide, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","1024-57-3","Heptachlor epoxide","ug/kg"
"49369","Organics, Pesticide","Heptachlor, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","76-44-8","Heptachlor","ug/kg"
"49370","Organics, Pesticide","Endrin, biota, whole organism, recoverable, wet weight, micrograms per kilogram","Not checked","","","Wet","","Recoverable","","72-20-8","Endrin","ug/kg"
